time, Quad.IMU.AX,,,,
3.429934,-0.037312,,-0.057202,0.003272069,
0.095,-0.036049,,-0.055939,0.003129172,
0.3,-0.032009,,-0.051899,0.002693506,
3.089958,-0.030415,,-0.050305,0.002530593,
1.195,-0.027899,,-0.047789,0.002283789,
4.114884,-0.026288,,-0.046178,0.002132408,
3.244947,-0.026081,,-0.045971,0.002113333,
2.699987,-0.025866,,-0.045756,0.002093612,
0.399998,-0.025067,,-0.044957,0.002021132,
0.195,-0.023585,,-0.043475,0.001890076,
2.24002,-0.023461,,-0.043351,0.001879309,
0.314999,-0.020813,,-0.040703,0.001656734,
0.719994,-0.020778,,-0.040668,0.001653886,
2.23502,-0.019543,,-0.039433,0.001554961,
1.039993,-0.018628,,-0.038518,0.001483636,
4.274873,-0.01785,,-0.03774,0.001424308,
0.904992,-0.017219,,-0.037109,0.001377078,
4.429862,-0.015223,,-0.035113,0.001232923,
3.379937,-0.014745,,-0.034635,0.001199583,
4.624847,-0.01454,,-0.03443,0.001185425,
1.400009,-0.009496,,-0.029386,0.000863537,
4.794835,-0.00851,,-0.0284,0.00080656,
4.909827,-0.007337,,-0.027227,0.00074131,
2.52,-0.006978,,-0.026868,0.000721889,
2.070032,-0.006838,,-0.026728,0.000714386,
3.769909,-0.005203,,-0.025093,0.000629659,
2.51,-0.003135,,-0.023025,0.000530151,
3.574923,-0.002885,,-0.022775,0.000518701,
1.695023,-0.001877,,-0.021767,0.000473802,
1.450012,-0.001146,,-0.021036,0.000442513,
2.64999,-0.00107,,-0.02096,0.000439322,
4.949824,-0.001019,,-0.020909,0.000437186,
4.769837,-0.000779,,-0.020669,0.000427208,
1.034992,-0.000713,,-0.020603,0.000424484,
1.009991,-0.000657,,-0.020547,0.000422179,
0.055,-0.000003,,-0.019893,0.000395731,
4.374866,0.000327,,-0.019563,0.000382711,
1.159998,0.002952,,-0.016938,0.000286896,
3.259946,0.003081,,-0.016809,0.000282542,
2.395009,0.003458,,-0.016432,0.000270011,
3.414935,0.006558,,-0.013332,0.000177742,
3.174952,0.008323,,-0.011567,0.000133795,
1.540016,0.010331,,-0.009559,9.13745E-05,
3.324941,0.011446,,-0.008444,7.13011E-05,
0.524997,0.01309,,-0.0068,0.00004624,
0.689995,0.013915,,-0.005975,3.57006E-05,
2.125028,0.016472,,-0.003418,1.16827E-05,
2.969967,0.018125,,-0.001765,3.11523E-06,
1.330006,0.020373,,0.000483,2.33289E-07,
3.109957,0.021706,,0.001816,3.29786E-06,
1.605019,0.024704,,0.004814,2.31746E-05,
0.459998,0.025346,,0.005456,2.97679E-05,
2.799979,0.025842,,0.005952,3.54263E-05,
1.610019,0.025911,,0.006021,3.62524E-05,
1.780027,0.026151,,0.006261,3.92001E-05,
4.469859,0.02638,,0.00649,4.21201E-05,
4.104885,0.03006,,0.01017,0.000103429,
1.230001,0.031099,,0.011209,0.000125642,
3.729912,0.031374,,0.011484,0.000131882,
0.729994,0.032731,,0.012841,0.000164891,
3.954896,0.03327,,0.01338,0.000179024,
4.549853,0.033529,,0.013639,0.000186022,
4.364866,0.038251,,0.018361,0.000337126,
0.444998,0.038858,,0.018968,0.000359785,
3.409935,0.039433,,0.019543,0.000381929,
1.810029,0.039537,,0.019647,0.000386005,
4.889828,0.042497,,0.022607,0.000511076,
0.669995,0.042507,,0.022617,0.000511529,
3.114957,0.04255,,0.02266,0.000513476,
2.290016,0.04376,,0.02387,0.000569777,
0.684995,0.044499,,0.024609,0.000605603,
4.269873,0.045195,,0.025305,0.000640343,
3.34494,0.045979,,0.026089,0.000680636,
3.124956,0.0474,,0.02751,0.0007568,
